idindikator;IDTer;nTer;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040101IND02;RS;REPUBLIC OF SERBIA;02;2018;66084;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040101IND02;RS;REPUBLIC OF SERBIA;02;2019;72350;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040101IND02;RS;REPUBLIC OF SERBIA;02;2020;80288;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040101IND02;RS;REPUBLIC OF SERBIA;02;2021;85864;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040101IND02;RS;REPUBLIC OF SERBIA;02;2022;97392;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040101IND02;RS;REPUBLIC OF SERBIA;02;2023;112212;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040101IND02;RS;REPUBLIC OF SERBIA;02;2024;129934;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040101IND02;RS;REPUBLIC OF SERBIA;02;2025;142908;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040101IND02;RS;REPUBLIC OF SERBIA;02;2026;160067;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040101IND02;RS;REPUBLIC OF SERBIA;03;1977;;RSD;RSD;SORS;Average gross earnings;L;Missing value - data exist but were not collected
2403040101IND02;RS;REPUBLIC OF SERBIA;03;1978;;RSD;RSD;SORS;Average gross earnings;L;Missing value - data exist but were not collected
2403040101IND02;RS;REPUBLIC OF SERBIA;03;1979;;RSD;RSD;SORS;Average gross earnings;L;Missing value - data exist but were not collected
2403040101IND02;RS;REPUBLIC OF SERBIA;03;1980;;RSD;RSD;SORS;Average gross earnings;L;Missing value - data exist but were not collected
2403040101IND02;RS;REPUBLIC OF SERBIA;03;1981;;RSD;RSD;SORS;Average gross earnings;L;Missing value - data exist but were not collected
2403040101IND02;RS;REPUBLIC OF SERBIA;03;1982;;RSD;RSD;SORS;Average gross earnings;L;Missing value - data exist but were not collected
2403040101IND02;RS;REPUBLIC OF SERBIA;03;1983;;RSD;RSD;SORS;Average gross earnings;L;Missing value - data exist but were not collected
2403040101IND02;RS;REPUBLIC OF SERBIA;03;1984;;RSD;RSD;SORS;Average gross earnings;L;Missing value - data exist but were not collected
2403040101IND02;RS;REPUBLIC OF SERBIA;03;1985;;RSD;RSD;SORS;Average gross earnings;L;Missing value - data exist but were not collected
2403040101IND02;RS;REPUBLIC OF SERBIA;03;1986;;RSD;RSD;SORS;Average gross earnings;L;Missing value - data exist but were not collected
2403040101IND02;RS;REPUBLIC OF SERBIA;03;1987;;RSD;RSD;SORS;Average gross earnings;L;Missing value - data exist but were not collected
2403040101IND02;RS;REPUBLIC OF SERBIA;03;1988;;RSD;RSD;SORS;Average gross earnings;L;Missing value - data exist but were not collected
2403040101IND02;RS;REPUBLIC OF SERBIA;03;1989;;RSD;RSD;SORS;Average gross earnings;L;Missing value - data exist but were not collected
2403040101IND02;RS;REPUBLIC OF SERBIA;03;1990;;RSD;RSD;SORS;Average gross earnings;L;Missing value - data exist but were not collected
2403040101IND02;RS;REPUBLIC OF SERBIA;03;1991;;RSD;RSD;SORS;Average gross earnings;L;Missing value - data exist but were not collected
2403040101IND02;RS;REPUBLIC OF SERBIA;03;1992;36829;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040101IND02;RS;REPUBLIC OF SERBIA;03;1993;2425961;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040101IND02;RS;REPUBLIC OF SERBIA;03;1994;151;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040101IND02;RS;REPUBLIC OF SERBIA;03;1995;456;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040101IND02;RS;REPUBLIC OF SERBIA;03;1996;915;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040101IND02;RS;REPUBLIC OF SERBIA;03;1997;1163;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040101IND02;RS;REPUBLIC OF SERBIA;03;1998;1601;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040101IND02;RS;REPUBLIC OF SERBIA;03;1999;2033;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040101IND02;RS;REPUBLIC OF SERBIA;03;2000;2924;RSD;RSD;SORS;Average gross earnings;A;Normal value
