idindikator;mes;god;IDTer;nTer;IDJavniSEK;nJavniSEK;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040110IND02;01;2026;RS;REPUBLIC OF SERBIA;5_AD3;Administration - autonomous  province level;170694;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2026;RS;REPUBLIC OF SERBIA;5_AD4;Administration - local authorities’ level;142447;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2018;RS;REPUBLIC OF SERBIA;0;Total;67646;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2018;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;82249;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2018;RS;REPUBLIC OF SERBIA;0_JS;Public sector;76873;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2018;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;62900;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2018;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;93382;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2018;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;65349;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2018;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;75095;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2018;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;69767;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2018;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;72541;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2018;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;82229;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2018;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;85486;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2018;RS;REPUBLIC OF SERBIA;5_AD3;Administration - autonomous  province level;85744;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2018;RS;REPUBLIC OF SERBIA;5_AD4;Administration - local authorities’ level;66049;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2019;RS;REPUBLIC OF SERBIA;0;Total;73817;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2019;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;90066;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2019;RS;REPUBLIC OF SERBIA;0_JS;Public sector;84327;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2019;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;68818;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2019;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;102952;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2019;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;72074;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2019;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;82476;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2019;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;76926;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2019;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;78900;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2019;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;90822;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2019;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;94591;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2019;RS;REPUBLIC OF SERBIA;5_AD3;Administration - autonomous  province level;104470;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2019;RS;REPUBLIC OF SERBIA;5_AD4;Administration - local authorities’ level;71493;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2020;RS;REPUBLIC OF SERBIA;0;Total;81562;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2020;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;99676;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2020;RS;REPUBLIC OF SERBIA;0_JS;Public sector;93310;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2020;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;76233;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2020;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;111816;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2020;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;82847;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2020;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;91280;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2020;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;86791;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2020;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;86662;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2020;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;99598;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2020;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;103754;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2020;RS;REPUBLIC OF SERBIA;5_AD3;Administration - autonomous  province level;114283;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2020;RS;REPUBLIC OF SERBIA;5_AD4;Administration - local authorities’ level;78372;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2021;RS;REPUBLIC OF SERBIA;0;Total;86459;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2021;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;99630;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2021;RS;REPUBLIC OF SERBIA;0_JS;Public sector;99180;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2021;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;80986;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2021;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;109902;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2021;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;85265;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2021;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;99037;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2021;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;103633;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2021;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;89480;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2021;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;103658;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2021;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;107950;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2021;RS;REPUBLIC OF SERBIA;5_AD3;Administration - autonomous  province level;121064;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2021;RS;REPUBLIC OF SERBIA;5_AD4;Administration - local authorities’ level;81528;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2022;RS;REPUBLIC OF SERBIA;0;Total;97634;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2022;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;106987;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2022;RS;REPUBLIC OF SERBIA;0_JS;Public sector;108030;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2022;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;93275;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2022;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;117457;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2022;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;92438;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2022;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;108360;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2022;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;112328;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2022;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;96700;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2022;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;115522;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2022;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;120604;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2022;RS;REPUBLIC OF SERBIA;5_AD3;Administration - autonomous  province level;131402;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2022;RS;REPUBLIC OF SERBIA;5_AD4;Administration - local authorities’ level;89701;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;02;2023;RS;REPUBLIC OF SERBIA;0;Total;113217;RSD;RSD;SORS;Average gross earnings;A;Normal value
