idindikator;mes;god;IDModalitetRegZap;nModalitetRegZap;IDTer;nTer;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
240204IND01;00;2015;03;Registered individual agricultural producers (farmers);70408;Vladimirci;1414;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;0;Registered employment - total;70416;Vladičin Han;2799;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");70416;Vladičin Han;2074;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");70416;Vladičin Han;707;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;03;Registered individual agricultural producers (farmers);70416;Vladičin Han;19;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;0;Registered employment - total;70424;Vlasotince;5566;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");70424;Vlasotince;3329;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");70424;Vlasotince;1780;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;03;Registered individual agricultural producers (farmers);70424;Vlasotince;456;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;0;Registered employment - total;70432;Vranje;19541;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");70432;Vranje;16960;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");70432;Vranje;2463;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
