idindikator;IDTer;nTer;IDJavniSEK;nJavniSEK;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040404IND01;RS;REPUBLIC OF SERBIA;5_AD3;Administration - autonomous  province level;00;2012;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040404IND01;RS;REPUBLIC OF SERBIA;5_AD4;Administration - local authorities’ level;00;2012;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040404IND01;RS;REPUBLIC OF SERBIA;0;Total;00;2013;43932;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;00;2013;54986;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;0_JS;Public sector;00;2013;48943;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;00;2013;39014;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;00;2013;62243;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;00;2013;44523;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;00;2013;46315;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;00;2013;44470;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;00;2013;43690;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;00;2013;55257;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;00;2013;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040404IND01;RS;REPUBLIC OF SERBIA;5_AD3;Administration - autonomous  province level;00;2013;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040404IND01;RS;REPUBLIC OF SERBIA;5_AD4;Administration - local authorities’ level;00;2013;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040404IND01;RS;REPUBLIC OF SERBIA;0;Total;00;2014;44530;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;00;2014;56945;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;0_JS;Public sector;00;2014;49445;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;00;2014;39891;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;00;2014;65635;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;00;2014;44380;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;00;2014;46196;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;00;2014;44268;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;00;2014;43936;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;00;2014;54757;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;00;2014;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040404IND01;RS;REPUBLIC OF SERBIA;5_AD3;Administration - autonomous  province level;00;2014;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040404IND01;RS;REPUBLIC OF SERBIA;5_AD4;Administration - local authorities’ level;00;2014;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040404IND01;RS;REPUBLIC OF SERBIA;0;Total;00;2015;44432;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;00;2015;55565;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;0_JS;Public sector;00;2015;46721;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;00;2015;42312;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;00;2015;64029;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;00;2015;43717;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;00;2015;42817;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;00;2015;41210;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;00;2015;41192;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;00;2015;49480;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;00;2015;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040404IND01;RS;REPUBLIC OF SERBIA;5_AD3;Administration - autonomous  province level;00;2015;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040404IND01;RS;REPUBLIC OF SERBIA;5_AD4;Administration - local authorities’ level;00;2015;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040404IND01;RS;REPUBLIC OF SERBIA;0;Total;00;2016;46097;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;00;2016;57146;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;0_JS;Public sector;00;2016;47636;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;00;2016;44702;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;00;2016;65416;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;00;2016;45528;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;00;2016;43468;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;00;2016;42025;RSD;RSD;SORS;Average net earnings;A;Normal value
