idindikator;IDTer;nTer;IDJavniSEK;nJavniSEK;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040404IND02;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;00;2014;61789;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;00;2014;64392;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;00;2014;61562;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;00;2014;61248;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;00;2014;76624;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;00;2014;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040404IND02;RS;REPUBLIC OF SERBIA;5_AD3;Administration - autonomous  province level;00;2014;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040404IND02;RS;REPUBLIC OF SERBIA;5_AD4;Administration - local authorities’ level;00;2014;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040404IND02;RS;REPUBLIC OF SERBIA;0;Total;00;2015;61145;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;00;2015;76865;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;0_JS;Public sector;00;2015;64807;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;00;2015;57753;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040404IND02;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;00;2015;88407;RSD;RSD;SORS;Average gross earnings;A;Normal value
