idindikator;IDTer;nTer;mes;god;IDModalitetRegZap;nModalitetRegZap;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
24021304IND01;RS11;Beogradski region;K1;2019;0;Registered employment - total;731381;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS11;Beogradski region;K1;2019;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");640795;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS11;Beogradski region;K1;2019;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");88015;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS11;Beogradski region;K1;2019;03;Registered individual agricultural producers (farmers);2572;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS12;Region Vojvodine;K1;2019;0;Registered employment - total;545956;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS12;Region Vojvodine;K1;2019;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");431007;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS12;Region Vojvodine;K1;2019;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");93926;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS12;Region Vojvodine;K1;2019;03;Registered individual agricultural producers (farmers);21023;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS2;SRBIJA – JUG;K1;2019;0;Registered employment - total;870610;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS2;SRBIJA – JUG;K1;2019;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");631096;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS2;SRBIJA – JUG;K1;2019;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");188699;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS2;SRBIJA – JUG;K1;2019;03;Registered individual agricultural producers (farmers);50816;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS21;Region Šumadije i Zapadne Srbije;K1;2019;0;Registered employment - total;502415;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS21;Region Šumadije i Zapadne Srbije;K1;2019;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");354423;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS21;Region Šumadije i Zapadne Srbije;K1;2019;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");112950;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS21;Region Šumadije i Zapadne Srbije;K1;2019;03;Registered individual agricultural producers (farmers);35042;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS22;Region Južne i Istočne Srbije;K1;2019;0;Registered employment - total;368196;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS22;Region Južne i Istočne Srbije;K1;2019;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");276672;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS22;Region Južne i Istočne Srbije;K1;2019;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");75749;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS22;Region Južne i Istočne Srbije;K1;2019;03;Registered individual agricultural producers (farmers);15775;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS23;Region Kosovo i Metohija;K1;2019;0;Registered employment - total;;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);O;Not available
24021304IND01;RS23;Region Kosovo i Metohija;K1;2019;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);O;Not available
24021304IND01;RS23;Region Kosovo i Metohija;K1;2019;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);O;Not available
24021304IND01;RS23;Region Kosovo i Metohija;K1;2019;03;Registered individual agricultural producers (farmers);;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);O;Not available
24021304IND01;RS;REPUBLIC OF SERBIA;K1;2020;0;Registered employment - total;2186834;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS;REPUBLIC OF SERBIA;K1;2020;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");1743643;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS;REPUBLIC OF SERBIA;K1;2020;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");374306;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS;REPUBLIC OF SERBIA;K1;2020;03;Registered individual agricultural producers (farmers);68885;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS1;SRBIJA – SEVER;K1;2020;0;Registered employment - total;1307644;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS1;SRBIJA – SEVER;K1;2020;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");1101229;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS1;SRBIJA – SEVER;K1;2020;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");184405;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
24021304IND01;RS1;SRBIJA – SEVER;K1;2020;03;Registered individual agricultural producers (farmers);22010;NR;number;SORS;Employed by regions (NSTJ based on the municipality of work);A;Normal value
