idindikator;IDTer;nTer;IDZarStatusPS;nZarStatusPS;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;06;2022;53551;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;06;2023;118025;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;06;2023;125986;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;06;2023;60871;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;06;2024;132290;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;06;2024;141287;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;06;2024;67998;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;06;2025;147947;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;06;2025;157795;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;06;2025;78073;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;07;2018;68029;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;07;2018;72058;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;07;2018;37632;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;07;2019;76056;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;07;2019;80770;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;07;2019;41498;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;07;2020;83016;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;07;2020;88450;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;07;2020;45925;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;07;2021;89330;RSD;RSD;SORS;Average gross earnings;A;Normal value
