idindikator;IDTer;nTer;mes;god;IDPol;nPol;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
24021308IND01;70386;Velika Plana;K1;2016;0;Total;8706;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70386;Velika Plana;K1;2016;1;Male;5402;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70386;Velika Plana;K1;2016;2;Female;3303;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70394;Veliko Gradište;K1;2016;0;Total;3646;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70394;Veliko Gradište;K1;2016;1;Male;2201;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70394;Veliko Gradište;K1;2016;2;Female;1445;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70408;Vladimirci;K1;2016;0;Total;3824;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70408;Vladimirci;K1;2016;1;Male;2698;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70408;Vladimirci;K1;2016;2;Female;1126;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70416;Vladičin Han;K1;2016;0;Total;4186;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70416;Vladičin Han;K1;2016;1;Male;2651;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70416;Vladičin Han;K1;2016;2;Female;1535;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70424;Vlasotince;K1;2016;0;Total;6320;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70424;Vlasotince;K1;2016;1;Male;3360;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70424;Vlasotince;K1;2016;2;Female;2960;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70432;Vranje;K1;2016;0;Total;20142;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70432;Vranje;K1;2016;1;Male;11040;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70432;Vranje;K1;2016;2;Female;9102;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70459;Vrnjačka Banja;K1;2016;0;Total;6578;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70459;Vrnjačka Banja;K1;2016;1;Male;3595;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70459;Vrnjačka Banja;K1;2016;2;Female;2983;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70467;Gadžin Han;K1;2016;0;Total;1472;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70467;Gadžin Han;K1;2016;1;Male;981;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70467;Gadžin Han;K1;2016;2;Female;490;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70475;Golubac;K1;2016;0;Total;1669;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70475;Golubac;K1;2016;1;Male;1019;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70475;Golubac;K1;2016;2;Female;651;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70483;Gornji Milanovac;K1;2016;0;Total;12620;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70483;Gornji Milanovac;K1;2016;1;Male;7368;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70483;Gornji Milanovac;K1;2016;2;Female;5251;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70491;Despotovac;K1;2016;0;Total;4826;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70491;Despotovac;K1;2016;1;Male;3096;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70491;Despotovac;K1;2016;2;Female;1730;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70505;Dimitrovgrad;K1;2016;0;Total;2472;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70505;Dimitrovgrad;K1;2016;1;Male;1481;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
