idindikator;mes;god;IDTer;nTer;IDJavniSEK;nJavniSEK;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040110IND01;02;2020;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;74355;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2020;RS;REPUBLIC OF SERBIA;5_AD3;Administration - autonomous  province level;81645;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2020;RS;REPUBLIC OF SERBIA;5_AD4;Administration - local authorities’ level;56429;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2021;RS;REPUBLIC OF SERBIA;0;Total;62693;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2021;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;71689;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2021;RS;REPUBLIC OF SERBIA;0_JS;Public sector;71340;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2021;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;58973;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2021;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;78936;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2021;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;61556;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2021;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;71229;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2021;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;74455;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2021;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;64540;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2021;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;74455;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2021;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;77488;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2021;RS;REPUBLIC OF SERBIA;5_AD3;Administration - autonomous  province level;86594;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2021;RS;REPUBLIC OF SERBIA;5_AD4;Administration - local authorities’ level;58826;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2022;RS;REPUBLIC OF SERBIA;0;Total;70762;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2022;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;77001;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2022;RS;REPUBLIC OF SERBIA;0_JS;Public sector;77666;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2022;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;67868;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2022;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;84411;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2022;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;66703;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2022;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;77876;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2022;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;80695;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2022;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;69697;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2022;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;82866;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2022;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;86453;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2022;RS;REPUBLIC OF SERBIA;5_AD3;Administration - autonomous  province level;93917;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2022;RS;REPUBLIC OF SERBIA;5_AD4;Administration - local authorities’ level;64651;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2023;RS;REPUBLIC OF SERBIA;0;Total;82062;RSD;RSD;SORS;Average net earnings;A;Normal value
