idindikator;IDTer;nTer;mes;god;IDJavniSEK;nJavniSEK;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2012;0_JP_JD_JL;Public enterprises;49311;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2012;0_JS;Public sector;40488;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2012;0_VJS;Non-public sector;33164;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2012;1_JD;Public state enterprises;54212;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2012;2_JL;Public local enterprises;42008;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2012;3_4_5_BK;General government;36705;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2012;3_ZS;Health and social work;29236;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2012;4_OK;Education and culture;39963;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2012;5_AD;Administration - all levels;47250;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2012;5_AD2;Administration - government  level;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2012;5_AD3;Administration - autonomous  province level;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2012;5_AD4;Administration - local authorities’ level;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2013;0;Total;39197;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2013;0_JP_JD_JL;Public enterprises;51604;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2013;0_JS;Public sector;44029;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2013;0_VJS;Non-public sector;34520;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2013;1_JD;Public state enterprises;58166;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2013;2_JL;Public local enterprises;42114;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2013;3_4_5_BK;General government;40747;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2013;3_ZS;Health and social work;32910;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2013;4_OK;Education and culture;43936;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2013;5_AD;Administration - all levels;51848;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2013;5_AD2;Administration - government  level;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2013;5_AD3;Administration - autonomous  province level;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2013;5_AD4;Administration - local authorities’ level;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2014;0;Total;37966;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2014;0_JP_JD_JL;Public enterprises;54663;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2014;0_JS;Public sector;43537;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2014;0_VJS;Non-public sector;32560;RSD;RSD;SORS;Average net earnings;A;Normal value
