idindikator;IDTer;nTer;IDZarStatusPS;nZarStatusPS;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040106IND01;RS;REPUBLIC OF SERBIA;0;Total;07;2018;49202;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;07;2018;52172;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;07;2018;26796;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;0;Total;07;2019;55042;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;07;2019;58527;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;07;2019;29498;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;0;Total;07;2020;60029;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;07;2020;64062;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;07;2020;32499;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;0;Total;07;2021;64731;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;07;2021;69216;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;07;2021;33957;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;0;Total;07;2022;73114;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;07;2022;78034;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;07;2022;37386;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;0;Total;07;2023;83781;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;07;2023;89540;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;07;2023;42566;RSD;RSD;SORS;Average net earnings;A;Normal value
