idindikator;mes;god;IDKD08;nkd08;IDTer;nTer;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040402IND02;00;2022;19;Manufacture of coke and refined petroleum products;RS;REPUBLIC OF SERBIA;163887;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2023;19;Manufacture of coke and refined petroleum products;RS;REPUBLIC OF SERBIA;190100;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2024;19;Manufacture of coke and refined petroleum products;RS;REPUBLIC OF SERBIA;207711;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2025;19;Manufacture of coke and refined petroleum products;RS;REPUBLIC OF SERBIA;301018;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2025;20;Manufacture of chemicals and chemical products;RS;REPUBLIC OF SERBIA;172645;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2024;20;Manufacture of chemicals and chemical products;RS;REPUBLIC OF SERBIA;154492;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2023;20;Manufacture of chemicals and chemical products;RS;REPUBLIC OF SERBIA;132429;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2022;20;Manufacture of chemicals and chemical products;RS;REPUBLIC OF SERBIA;114241;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2021;20;Manufacture of chemicals and chemical products;RS;REPUBLIC OF SERBIA;99611;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2020;20;Manufacture of chemicals and chemical products;RS;REPUBLIC OF SERBIA;87676;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2019;20;Manufacture of chemicals and chemical products;RS;REPUBLIC OF SERBIA;84502;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2018;20;Manufacture of chemicals and chemical products;RS;REPUBLIC OF SERBIA;85719;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2018;21;Manufacture of basic pharmaceutical products and pharmaceutical preparations;RS;REPUBLIC OF SERBIA;122386;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2019;21;Manufacture of basic pharmaceutical products and pharmaceutical preparations;RS;REPUBLIC OF SERBIA;137064;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2020;21;Manufacture of basic pharmaceutical products and pharmaceutical preparations;RS;REPUBLIC OF SERBIA;142573;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2021;21;Manufacture of basic pharmaceutical products and pharmaceutical preparations;RS;REPUBLIC OF SERBIA;150295;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2022;21;Manufacture of basic pharmaceutical products and pharmaceutical preparations;RS;REPUBLIC OF SERBIA;166321;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2023;21;Manufacture of basic pharmaceutical products and pharmaceutical preparations;RS;REPUBLIC OF SERBIA;172092;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2024;21;Manufacture of basic pharmaceutical products and pharmaceutical preparations;RS;REPUBLIC OF SERBIA;195774;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2025;21;Manufacture of basic pharmaceutical products and pharmaceutical preparations;RS;REPUBLIC OF SERBIA;211703;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2025;22;Manufacture of rubber and plastic products;RS;REPUBLIC OF SERBIA;148387;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2024;22;Manufacture of rubber and plastic products;RS;REPUBLIC OF SERBIA;133564;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2023;22;Manufacture of rubber and plastic products;RS;REPUBLIC OF SERBIA;116910;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2022;22;Manufacture of rubber and plastic products;RS;REPUBLIC OF SERBIA;101772;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2021;22;Manufacture of rubber and plastic products;RS;REPUBLIC OF SERBIA;89626;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2020;22;Manufacture of rubber and plastic products;RS;REPUBLIC OF SERBIA;82857;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2019;22;Manufacture of rubber and plastic products;RS;REPUBLIC OF SERBIA;78495;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040402IND02;00;2018;22;Manufacture of rubber and plastic products;RS;REPUBLIC OF SERBIA;73476;RSD;RSD;SORS;Average gross earnings;A;Normal value
