idindikator;IDTer;nTer;IDModalitetZarZap;nModalitetZarZap;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;05;2024;100615;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;05;2024;59873;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;05;2025;107705;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;05;2025;108164;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;05;2025;65760;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;06;2018;49226;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;06;2018;49595;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;06;2018;32071;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;06;2019;53633;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;06;2019;54005;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;06;2019;34052;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;06;2020;59740;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;06;2020;60036;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;06;2020;38596;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;06;2021;65070;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;06;2021;65383;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;06;2021;41536;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;06;2022;74302;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;06;2022;74708;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;06;2022;44104;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;06;2023;85539;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;06;2023;85990;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;06;2023;49667;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;06;2024;95804;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;06;2024;96244;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;06;2024;57332;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;06;2025;107075;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;06;2025;107554;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;06;2025;64198;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;07;2018;49202;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;07;2018;49565;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;07;2018;32099;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;07;2019;55042;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;07;2019;55404;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;07;2019;35704;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;07;2020;60029;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;07;2020;60343;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;07;2020;38301;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;07;2021;64731;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;07;2021;65043;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;07;2021;41397;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;07;2022;73114;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;07;2022;73506;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;07;2022;43452;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;07;2023;83781;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;07;2023;84194;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;07;2023;49601;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;07;2024;97835;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;07;2024;98229;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;07;2024;61372;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;07;2025;109071;RSD;RSD;SORS;Average net earnings;A;Normal value
