municipality_code,municipality_name,earnings_type,macro_region_name,statistical_region_name,administrative_district_name,local_unit_type,city_group_name,avg_2025_value_rsd
70785,Majdanpek,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Borska oblast,municipality,,159449.25
70785,Majdanpek,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Borska oblast,municipality,,114631.25
70793,Mali Zvornik,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Mačvanska oblast,municipality,,121532.33
70793,Mali Zvornik,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Mačvanska oblast,municipality,,88077.75
70807,Malo Crniće,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Braničevska oblast,municipality,,113820.58
70807,Malo Crniće,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Braničevska oblast,municipality,,82262.33
70815,Medveđa,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Jablanička oblast,municipality,,126309.42
70815,Medveđa,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Jablanička oblast,municipality,,91270.33
70823,Merošina,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Nišavska oblast,municipality,,109887.83
70823,Merošina,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Nišavska oblast,municipality,,79738.75
70831,Mionica,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Kolubarska oblast,municipality,,116634.25
70831,Mionica,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Kolubarska oblast,municipality,,84499.42
70840,Negotin,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Borska oblast,municipality,,127588.17
70840,Negotin,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Borska oblast,municipality,,92084.59
70866,Nova Varoš,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Zlatiborska oblast,municipality,,118826.0
70866,Nova Varoš,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Zlatiborska oblast,municipality,,85770.92
70874,Novi Pazar,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Raška oblast,municipality,,112526.92
70874,Novi Pazar,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Raška oblast,municipality,,81425.42
70882,Osečina,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Kolubarska oblast,municipality,,115667.08
70882,Osečina,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Kolubarska oblast,municipality,,83802.58
70904,Paraćin,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Pomoravska oblast,municipality,,122957.08
70904,Paraćin,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Pomoravska oblast,municipality,,89004.33
70912,Petrovac na Mlavi,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Braničevska oblast,municipality,,113303.25
70912,Petrovac na Mlavi,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Braničevska oblast,municipality,,81998.75
70939,Pirot,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Pirotska oblast,municipality,,134892.42
70939,Pirot,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Pirotska oblast,municipality,,97345.42
70947,Požarevac,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Braničevska oblast,city_municipality,Grad Požarevac,140392.33
70947,Požarevac,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Braničevska oblast,city_municipality,Grad Požarevac,101133.75
70955,Požega,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Zlatiborska oblast,municipality,,129606.17
70955,Požega,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Zlatiborska oblast,municipality,,93665.58
70963,Preševo,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,municipality,,102237.25
70963,Preševo,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,municipality,,73897.67
70971,Priboj,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Zlatiborska oblast,municipality,,120814.66
70971,Priboj,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Zlatiborska oblast,municipality,,87339.42
70980,Prijepolje,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Zlatiborska oblast,municipality,,113199.17
70980,Prijepolje,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Zlatiborska oblast,municipality,,81877.58
70998,Prokuplje,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Toplička oblast,municipality,,122294.92
70998,Prokuplje,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Toplička oblast,municipality,,88502.42
71005,Ražanj,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Nišavska oblast,municipality,,110834.33
71005,Ražanj,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Nišavska oblast,municipality,,80352.25
71013,Rača,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Šumadijska oblast,municipality,,120129.67
71013,Rača,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Šumadijska oblast,municipality,,87045.67
71021,Raška,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Raška oblast,municipality,,117760.17
71021,Raška,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Raška oblast,municipality,,85203.17
71030,Rekovac,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Pomoravska oblast,municipality,,111720.67
71030,Rekovac,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Pomoravska oblast,municipality,,80896.41
71048,Jagodina,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Pomoravska oblast,municipality,,121600.67
71048,Jagodina,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Pomoravska oblast,municipality,,88077.42
71056,Svilajnac,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Pomoravska oblast,municipality,,115401.67
71056,Svilajnac,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Pomoravska oblast,municipality,,83440.67
71064,Svrljig,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Nišavska oblast,municipality,,109550.83
71064,Svrljig,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Nišavska oblast,municipality,,79855.33
71072,Sjenica,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Zlatiborska oblast,municipality,,116585.58
71072,Sjenica,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Zlatiborska oblast,municipality,,84139.58
71099,Smederevo,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Podunavska oblast,municipality,,138141.84
71099,Smederevo,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Podunavska oblast,municipality,,99712.08
71102,Smederevska Palanka,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Podunavska oblast,municipality,,125102.08
71102,Smederevska Palanka,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Podunavska oblast,municipality,,90519.58
71129,Sokobanja,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Zaječarska oblast,municipality,,119382.08
71129,Sokobanja,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Zaječarska oblast,municipality,,86222.33
71137,Surdulica,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,municipality,,118269.92
71137,Surdulica,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,municipality,,85534.83
71145,Užice,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Zlatiborska oblast,city_municipality,Grad Užice,141281.08
71145,Užice,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Zlatiborska oblast,city_municipality,Grad Užice,101839.59
71153,Topola,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Šumadijska oblast,municipality,,119134.75
71153,Topola,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Šumadijska oblast,municipality,,86208.33
71161,Trgovište,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,municipality,,112091.67
71161,Trgovište,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,municipality,,81207.83
71170,Trstenik,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Rasinska oblast,municipality,,117616.5
71170,Trstenik,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Rasinska oblast,municipality,,85193.83
71188,Tutin,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Raška oblast,municipality,,111638.67
71188,Tutin,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Raška oblast,municipality,,80841.5
71196,Ćićevac,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Rasinska oblast,municipality,,119595.75
71196,Ćićevac,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Rasinska oblast,municipality,,86666.0
71200,Ćuprija,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Pomoravska oblast,municipality,,124016.0
71200,Ćuprija,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Pomoravska oblast,municipality,,89666.17
71218,Ub,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Kolubarska oblast,municipality,,129446.92
71218,Ub,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Kolubarska oblast,municipality,,93694.58
71226,Crna Trava,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Jablanička oblast,municipality,,108786.08
71226,Crna Trava,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Jablanička oblast,municipality,,78728.17
71234,Čajetina,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Zlatiborska oblast,municipality,,120102.33
71234,Čajetina,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Zlatiborska oblast,municipality,,86724.5
71242,Čačak,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Moravička oblast,municipality,,131182.0
71242,Čačak,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Moravička oblast,municipality,,94886.25
71269,Šabac,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Mačvanska oblast,municipality,,132227.0
71269,Šabac,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Mačvanska oblast,municipality,,95697.75
71277,Lapovo,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Šumadijska oblast,municipality,,120649.58
71277,Lapovo,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Šumadijska oblast,municipality,,87231.09
71285,Niška Banja,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Nišavska oblast,city_municipality,Grad Niš,119222.92
71285,Niška Banja,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Nišavska oblast,city_municipality,Grad Niš,86435.5
71293,Surčin,gross,SRBIJA – SEVER,Beogradski region,Beogradski region,city_municipality,Grad Beograd,138594.16
71293,Surčin,net,SRBIJA – SEVER,Beogradski region,Beogradski region,city_municipality,Grad Beograd,100316.33
