municipality_code,municipality_name,year,quarter,earnings_type,territory_level,territory_level_order,parent_territory_code,parent_territory_name,country_code,country_name,macro_region_code,macro_region_name,statistical_region_code,statistical_region_name,administrative_district_code,administrative_district_name,local_unit_type,city_group_code,city_group_name,quarterly_avg_value_rsd,months_in_quarter,is_complete_quarter,month_list,min_month_value_rsd,max_month_value_rsd
70025,Aleksinac,2019,Q4,gross,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,municipality,,,64624.67,3,True,"10,11,12",60365,71935
70025,Aleksinac,2019,Q4,net,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,municipality,,,46817.67,3,True,"10,11,12",43727,52142
70025,Aleksinac,2020,Q1,gross,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,municipality,,,65693.67,3,True,"01,02,03",63754,67371
70025,Aleksinac,2020,Q1,net,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,municipality,,,47576,3,True,"01,02,03",46227,48788
70025,Aleksinac,2020,Q2,gross,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,municipality,,,65502.67,3,True,"04,05,06",63442,67707
70025,Aleksinac,2020,Q2,net,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,municipality,,,47403.67,3,True,"04,05,06",45913,48964
70025,Aleksinac,2020,Q3,gross,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,municipality,,,66295,3,True,"07,08,09",65591,67526
70025,Aleksinac,2020,Q3,net,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,municipality,,,47987.67,3,True,"07,08,09",47560,48815
70025,Aleksinac,2020,Q4,gross,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,municipality,,,70119.33,3,True,"10,11,12",66929,75219
70025,Aleksinac,2020,Q4,net,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,municipality,,,50735.67,3,True,"10,11,12",48405,54408
70025,Aleksinac,2021,Q1,gross,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,municipality,,,70478.67,3,True,"01,02,03",69252,71727
70025,Aleksinac,2021,Q1,net,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,municipality,,,51122.67,3,True,"01,02,03",50289,51982
70025,Aleksinac,2021,Q2,gross,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,municipality,,,73239.67,3,True,"04,05,06",71684,74697
70025,Aleksinac,2021,Q2,net,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,municipality,,,53083.67,3,True,"04,05,06",51943,54152
70025,Aleksinac,2021,Q3,gross,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,municipality,,,72090.33,3,True,"07,08,09",71400,72784
70025,Aleksinac,2021,Q3,net,local_unit,5,RS225,Nišavska oblast,RS,REPUBLIC OF SERBIA,RS2,SRBIJA – JUG,RS22,Region Južne i Istočne Srbije,RS225,Nišavska oblast,municipality,,,52261,3,True,"07,08,09",51757,52760
