municipality_code,municipality_name,earnings_type,macro_region_name,statistical_region_name,administrative_district_name,local_unit_type,city_group_name,from_year,from_quarter,to_year,to_quarter,from_value_rsd,to_value_rsd,change_pct,abs_change_pct
70530,Žagubica,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Braničevska oblast,municipality,,2023,Q4,2024,Q1,70521.33,77919.67,10.49,10.49
70742,Lučani,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Moravička oblast,municipality,,2018,Q1,2018,Q2,49724.33,54939.33,10.49,10.49
71161,Trgovište,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,municipality,,2018,Q4,2019,Q1,54701.67,60409.33,10.43,10.43
70114,Vračar,gross,SRBIJA – SEVER,Beogradski region,Beogradski region,city_municipality,Grad Beograd,2021,Q3,2021,Q4,146398.0,161604.67,10.39,10.39
70041,Arilje,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Zlatiborska oblast,municipality,,2021,Q3,2021,Q4,66585.0,73493.33,10.38,10.38
70050,Babušnica,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Pirotska oblast,municipality,,2018,Q3,2018,Q4,40452.0,44652.0,10.38,10.38
80128,Vršac,net,SRBIJA – SEVER,Region Vojvodine,Južnobanatska oblast,municipality,,2025,Q3,2025,Q4,100572.67,111009.67,10.38,10.38
80128,Vršac,gross,SRBIJA – SEVER,Region Vojvodine,Južnobanatska oblast,municipality,,2022,Q3,2022,Q4,97593.0,107671.67,10.33,10.33
70351,Bujanovac,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,municipality,,2023,Q4,2024,Q1,86194.67,95094.0,10.32,10.32
70815,Medveđa,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Jablanička oblast,municipality,,2021,Q4,2022,Q1,77971.0,86019.67,10.32,10.32
70815,Medveđa,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Jablanička oblast,municipality,,2021,Q4,2022,Q1,56331.0,62142.67,10.32,10.32
80241,Mali Iđoš,net,SRBIJA – SEVER,Region Vojvodine,Severnobačka oblast,municipality,,2023,Q4,2024,Q1,66182.67,73005.0,10.31,10.31
70351,Bujanovac,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,municipality,,2023,Q4,2024,Q1,62504.67,68931.0,10.28,10.28
70688,Kuršumlija,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Toplička oblast,municipality,,2025,Q3,2025,Q4,85051.33,93767.67,10.25,10.25
70246,Stari grad,gross,SRBIJA – SEVER,Beogradski region,Beogradski region,city_municipality,Grad Beograd,2021,Q3,2021,Q4,140544.0,154930.33,10.24,10.24
70343,Brus,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Rasinska oblast,municipality,,2023,Q3,2023,Q4,63146.33,69599.67,10.22,10.22
70785,Majdanpek,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Borska oblast,municipality,,2019,Q4,2020,Q1,80066.33,88244.0,10.21,10.21
70181,Novi Beograd,gross,SRBIJA – SEVER,Beogradski region,Beogradski region,city_municipality,Grad Beograd,2021,Q3,2021,Q4,141367.0,155792.67,10.2,10.2
