source_file,indicator_code,indicator_name,earnings_type,municipality_code,municipality_name,year,month,quarter,year_month,value_rsd,unit_code,unit_name,status_code,status_name,source_org
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,71366,Sevojno,2018,1,Q1,2018-01,47474,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,79022,Grad Niš,2018,1,Q1,2018-01,46861,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,79049,Grad Požarevac,2018,1,Q1,2018-01,53538,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,79057,Grad Vranje,2018,1,Q1,2018-01,42663,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,79065,Grad Užice,2018,1,Q1,2018-01,48087,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,80012,Ada,2018,1,Q1,2018-01,43207,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,80039,Alibunar,2018,1,Q1,2018-01,42635,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,80047,Apatin,2018,1,Q1,2018-01,42622,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,80055,Bač,2018,1,Q1,2018-01,38465,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,80063,Bačka Palanka,2018,1,Q1,2018-01,47819,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,80071,Bačka Topola,2018,1,Q1,2018-01,43102,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,80080,Bački Petrovac,2018,1,Q1,2018-01,41443,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,80098,Bela Crkva,2018,1,Q1,2018-01,41515,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,80101,Beočin,2018,1,Q1,2018-01,43371,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,80110,Bečej,2018,1,Q1,2018-01,42871,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,80128,Vršac,2018,1,Q1,2018-01,51988,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,80136,Žabalj,2018,1,Q1,2018-01,40274,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,80144,Žitište,2018,1,Q1,2018-01,44033,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,80152,Zrenjanin,2018,1,Q1,2018-01,48517,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,80179,Inđija,2018,1,Q1,2018-01,44994,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,80187,Irig,2018,1,Q1,2018-01,40008,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,80195,Kanjiža,2018,1,Q1,2018-01,43338,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,80209,Kikinda,2018,1,Q1,2018-01,46666,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,80217,Kovačica,2018,1,Q1,2018-01,40586,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,80225,Kovin,2018,1,Q1,2018-01,44349,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,80233,Kula,2018,1,Q1,2018-01,41396,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,80241,Mali Iđoš,2018,1,Q1,2018-01,38930,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,80250,Nova Crnja,2018,1,Q1,2018-01,44292,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,80268,Novi Bečej,2018,1,Q1,2018-01,40205,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,80276,Novi Kneževac,2018,1,Q1,2018-01,41519,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,80284,Novi Sad,2018,1,Q1,2018-01,54867,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,80292,Opovo,2018,1,Q1,2018-01,41837,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,80306,Odžaci,2018,1,Q1,2018-01,41542,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,80314,Pančevo,2018,1,Q1,2018-01,50722,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,80322,Pećinci,2018,1,Q1,2018-01,43972,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,80349,Plandište,2018,1,Q1,2018-01,41789,RSD,RSD,A,Normal value,SORS
avg_monthly_net_earnings_municipality_residence.csv,2403040103IND01,Average net earnings,net,80357,Ruma,2018,1,Q1,2018-01,43222,RSD,RSD,A,Normal value,SORS
